fipscode,varname,race_ethn,age,c_mn,se_tot
36061,first_entry,AI/AN,18,0.008540527472029671,0.0012652539917263404
36061,first_inv,AI/AN,18,0.07645606370034987,0.003962736818071325
36061,first_victim,AI/AN,18,0.02571564064617715,0.0018755013235936602
36061,tpr,AI/AN,18,3.2532655624695206e-4,3.1727255385431344e-4
36061,first_entry,Asian/PI,18,0.0051755615788644516,2.860608590117092e-4
36061,first_inv,Asian/PI,18,0.17652952780268688,0.0014310980748948488
36061,first_victim,Asian/PI,18,0.05994900399025403,9.113548660012805e-4
36061,tpr,Asian/PI,18,1.6528590170393487e-4,4.800810368999967e-5
36061,first_entry,Black,18,0.06393214945775967,6.340887661240513e-4
36061,first_inv,Black,18,0.5518636750264226,0.0011139874531474955
36061,first_victim,Black,18,0.23281113580304422,0.0010242372166394313
36061,tpr,Black,18,0.003854553060241378,1.5369988682652444e-4
36061,first_entry,Hispanic,18,0.01855997617415725,4.0823530266781877e-4
36061,first_inv,Hispanic,18,0.5062478873946863,0.0012598454908986961
36061,first_victim,Hispanic,18,0.19762296085133954,0.0011117863552712688
36061,tpr,Hispanic,18,8.785158229228929e-4,8.812917360605978e-5
36061,first_entry,Total,18,0.031289554732417776,2.443211443737323e-4
36061,first_inv,Total,18,0.41099329806339396,6.236544925622069e-4
36061,first_victim,Total,18,0.1536665693055124,4.931296749592512e-4
36061,tpr,Total,18,0.001601627270907069,5.410676027634424e-5
36061,first_entry,White,18,0.019612185766280987,4.412441988516875e-4
36061,first_inv,White,18,0.22648138715549873,0.0012280145038957846
36061,first_victim,White,18,0.07004761268569609,6.976720920426698e-4
36061,tpr,White,18,6.715841890373581e-4,7.001080307824148e-5
